test_index,true_label,tfidf_pred,tfidf_conf,Fine-tuned DistilBERT_pred,Fine-tuned DistilBERT_conf,tfidf_correct,Fine-tuned DistilBERT_correct,text,tfidf_product_masked_pred,tfidf_flipped_after_product_masking,Fine-tuned DistilBERT_product_masked_pred,Fine-tuned DistilBERT_flipped_after_product_masking,case_type
10,Credit card,Debt collection,0.740466470758111,Debt collection,0.8901419639587402,False,False,"We received a debt notice from a collection agency related to a XXXX we had applied for but did not receive indicating that we owed {$250.00} which should be mailed to them. We contacted XXXX Rewards Card and they have no record of this and advised us to submit a complaint. 
The collection agency is listed as : XXXX XXXX, XXXX XXXX XXXX, XXXX, OK XXXX, Phone XXXX. I have not been able to reach them on the phone, and I will not contact them as I 'm certain this is a scam.",Credit reporting,True,Debt collection,False,both_wrong
11,Credit card,Credit card,0.6599552594158804,Credit card,0.9287043213844299,True,True,"Discover Financial Services ( DFS ) utilized deceptive advertising to promote the use of XXXX with their Discover Card product and is not honoring payments promised to customers including myself. 
DFS issued a press release promising 10 % cash back on all XXXX transactions conducted with a Discover card from XXXX. htttp XXXX After the promotion started DFS posted updated the terms and conditions on XXXX/XXXX/15 which specifically excluded the purchase of gift cards related to this promotion. Starting around XXXX/XXXX/15, after utilizing XXXX for a multitude of transactions I began receiving automated e-mails from DFS, specifically XXXXXXXXXXXX, claiming I had purchased gift cards on certain transactions and requiring me to submit receipts in order to receive the previously promised cash back. DFS me advised to contact the merchant and/or DFS would contact them on my behalf. The requirement to retain receipts was never mentioned in either the initial press release or any updated terms and conditions on DFS related websites and I had not retained any receipts which I could provide DFS. 
I e-mailed the above listed e-mail address advising that I did not have receipts for the various transactions/merchants they were questioning and was unable to obtain them for the merchant. Only XXXX detailed receipt was obtained by DFS for {$410.00} on XXXX/XXXX/15 from XXXX. After I began receiving receipt requests I began keeping all my XXXX receipts, though not required by DFS ' stated terms and conditions. 
I am requesting DFS honor all my other XXXX Pay transactions and provide an accounting for the payments they promised.",Credit card,False,Credit card,False,both_right
12,Debt collection,Credit card,0.2962149657157719,Debt collection,0.8498084545135498,False,True,"I had a XXXX service and i finished the contract before time. They have a 2 years contact. I had to finish my service because first of all they lie to me about pricing, and the quality of service. First, they gave me a price and the bills charged me the double of the price offered to me. Second, they said that the service was the best even with rain or winds, signal never would be lost. That was a lie and they even had to take that commercial tv off. With a couple of drops of rain and a little bit of rain signal was lost for hours. I did n't like being insulted that way. So, i decided to terminate my service.",Credit card,False,Debt collection,False,tfidf_wrong_comparison_right
13,Credit card,Debt collection,0.950435314392458,Debt collection,0.9511677622795105,False,False,"Portfolio Recovery Corp ( PRC ) continues to call on a stale debt 2006, which was discharged. They were notified XXXX in the past about this",Debt collection,False,Debt collection,False,both_wrong
14,Mortgage,Mortgage,0.7366248339592721,Mortgage,0.9789395928382874,True,True,"My husband and I experience a short financial difficulty recently and are in the process of taking a hardship withdrawal from our XXXX. We have been in constant communication with Ocwen Financial Corporation during this short term period and requested a reinstatement letter from Ocwen mortgage XXXX. My husband and I are reinstating the loan in 10 days and want to reinforce that out short financial difficulty is not the motivation for this complaint. On XXXX XXXX I requested the reinstatement quote be sent to the email I have on file with them. On XXXX XXXX I saw that they emailed the quote to my XXXX partners email that myself and our XXXX also have access to and is primarily used for our XXXX to contact us. I quickly forwarded this email to my correct email address and erased it. It was too late, my XXXX partner had already opened the email and contacted me through txt message about it ( I can provide the records if needed ). I then contacted Ocwen and they admitted to incorrectly entering the email address and sending it to the wrong email address. By their error of omitting the XXXX portion of the email address, it was not only sent to the wrong email but was sent to the email address of my business partner and employees. The email address that it was incorrectly sent to was never given to them or authorized for them to use. I confirmed their admission that it was their error and they had not entered the email information correctly. By failing to enter my XXXX name at the beginning of the email address it resulted by matching my XXXX partner 's email address. I XXXX with a partner and was in the middle of a business deal which was very fragile in nature. By sending this email they have compromised this business deal and put the future of my XXXX in jeopardy. By sending this confidential information about my mortgage and my financial position to my XXXX partner and employees, it has not only has impacted me emotionally but has damaged my position in the company and the ruined my buyout and reorganization of the company. It has financially impact me substantially and ultimately it could cost me my XXXX and my livelihood.",Mortgage,False,Mortgage,False,both_right
15,Debt collection,Debt collection,0.8475297622018733,Debt collection,0.9540594816207886,True,True,Financial credit network claims to be collecting on behalf of XXXX XXXX XXXX which I never had business with. My numerous attempts to resolve the matter with them went ignored. I requested debt validation in accordance with FCRA rules and regulations and they failed to proof validity or ownership of this debt. However they are still reporting this on my credit report which is damaging my credit rating to an extend. I request they DELETE this collection from my report and STOP their harassing collection efforts once and for all!,Debt collection,False,Debt collection,False,both_right
16,Credit card,Bank account or service,0.5274503112412718,Bank account or service,0.8248117566108704,False,False,"I signed up for a XXXX through TD Bank under promotional terms. The offer was a {$200.00} cash rewards bonus reflected on the account in 6-8 weeks after spending {$1500.00} in total net purchases within 90 days of account opening. I met the promotional spending terms by my XXXX XXXX statement ( well within 90 days of account opening ). By the terms of the offer, I should have received the cash rewards bonus no later than 8 weeks from XXXX XXXX, which would be XXXX XXXX. I have not received the bonus. I have sent ~XXXX secure emails and called ~XXXX times. TD Bank always has a different story. When I called in XXXX, I was told I would see the bonus on my XXXX statement. That did not happen. When I called today ( XXXX ), I was told the bonus would post 6-8 weeks after the first 90 days. However, this is not how the offer terms are written, and at this point the bank seems to be doing anything it can to avoid honoring the terms of the offer.",Bank account or service,False,Bank account or service,False,both_wrong
17,Credit card,Mortgage,0.4198338257369313,Debt collection,0.5122349262237549,False,False,"Back in XX/XX/XXXX, I applied and received a care credit account for XXXX worth of dental work my husband needed. Our insurance would only cover XXXX of this amount. On the last month XX/XX/XXXX I made a last payment to take care of the XXXX transaction of this total. I was 8 days late. Not understanding that their is no grace period for this account. They immediately charged my account the back accrued interest. I did not realize I was acquiring interest on an interest free loan if paid back at the end of the term. I paid early on a transaction that was due in XXXX, However they charged me the interest on it because they said I still owed money on that transaction. I had been paying the amount on the statement each month to pay these off. I currently owe over XXXX on this account and have XXXX transactions left for XXXX ... Due XXXX and XXXX due XXXX. Yet I am paying XXXX/month and XXXX of that is going to the actual loan. I was not aware of these stipulations when I signed up for the loan through my dentist. I was told it was 0 % interest for 2 years. Calling today they have sent me to the bankruptcy division of their company. I have not filed for bankruptcy. Not sure what is going on. 

Thank youXXXX XXXX KS XXXX",Debt collection,True,Debt collection,False,both_wrong
18,Credit reporting,Credit reporting,0.9844403492323288,Credit reporting,0.974570631980896,True,True,My info was crisscrossed with that of my father. HE has a tax lien that appears on MY Experian credit report and not on HIS.. although this same item appears on both HIS XXXX and XXXX reports and not on MINE. Item in reference docket # XXXX. Upon further investigation noticed that the addresses of XXXX XXXX County recorder differ from my Experian report and his XXXX reports from XXXX and XXXX but ALL XXXX have the exact same dollar amount due {$7400.00}. and SAME docket reference number # XXXX. documents uploaded to support my dispute.,Credit reporting,False,Credit reporting,False,both_right
19,Credit reporting,Credit reporting,0.8990438576423537,Credit reporting,0.97527676820755,True,True,"I am sending another complaint because i am becoming extremely concerned about some misinformation that is reporting on my credit report. I have been waiting more than 60 days, I have sent a second complaint and I have disputed this companies response and yet I still do not have a proper resolution to some incorrect reporting on my credit report. 

Experian is reporting false negative items to my credit report damaging my creditability with all of my financial institutions. I would like to extend another complaint to the CFPB with high hopes that my situation will be elevated to a more invasive investigative unit. I am highly concerned that they are continually shutting me down and refusing to properly investigate and validate their wrongful reporting and this process is taking so long that it has left me financial paralyzed. 

1. XXXX XXXX card # XXXX is reporting XXXX late payments and that is absolutely false and I would like the CFPB to join forces with XXXX and properly verify this misinformation immediately. 

3. XXXX, XXXX is an account that has violated consumer safety and protection laws against me as a consumer and has to be deleted for falsely and illegally reporting to my credit report with your company. They are in violation of FDCPA laws and are currently under federal investigation for threats, abusive conduct and illegal documentation and non-debt validation. 

4. The TAX Lien was withdrawn from my name and I DONT REQUEST INFORMATION SUCH AS MY NAME TO BE VERIFIED! I have repeatedly asked them to stop sending me generic and uneducated responses verify silly things such as my name and such. I have told them that there are court orders from 2011 withdrawing these invalid liens. VERIFY THAT OR DELETE THE TAX LIEN immediately because you are ILLEGALLY reporting it! 

I will not take ANOTHER generic response as a form of validation of my disputes. Correct these XXXX items immediately, I will not stand for any lack of proof, investigation and evidence which I am requesting as my right by LAW. That is not a proper reinvestigation BY ANY TERMS! I can not afford to wait any longer, it has been way too long, too tedious and I fear as though someone at Experian is purposefully making this hard for me. I want this information corrected, and nothing else. This is my life. Please ...",Credit reporting,False,Credit reporting,False,both_right
20,Debt collection,Debt collection,0.9879914926333325,Debt collection,0.9635040163993835,True,True,"Settled and paid debt collector way before settlement date. Debt collector refused to send me an email confirming payment of debt in full. Said that they would sent letter in the mail. Instead, collection company has continued harassing my family by sending people to my house to serve me with a summons. Now I am being sued for a debt that has already been paid.",Debt collection,False,Debt collection,False,both_right
21,Mortgage,Mortgage,0.9695308183120941,Mortgage,0.7819423079490662,True,True,"The letter below was written and directed to Bank of America XX/XX/XXXX. While Bank of America eventually found my money, they did n't correct the reporting they did to my credit report in error. This failure to correct my credit reporting is impacting my ability to become employed and my ability to leverage the equity in my homes. I would like to have this situation corrected ASAP. I say this because people do not research what happened, they just look at the score and make the wrong assumptions. 
***********The purpose of this letter is to recount the events that have led to the current status of my accounts with Bank of America XXXX a detailed analysis of the status of notes and payment history of my loans. In the interest of curing these loans, once I receive the detailed analysis, I need to schedule a conference call with the customer relationship manager assigned to my accounts, XXXX XXXX. It seems that borrower harm may have been, or may be being committed against these loans, as I have documentation dating back to XXXX and XX/XX/XXXX stating that my required mortgage payment amount was {$1500.00}. I also have bank records that indicate my consistent mortgage payments. I have the income, and the desire to cure the issues that exist with these loans, and I need forum to clear up any confusion as well as a commitment from Bank of America to correct the invalid credit reporting that would suggest that I paid my mortgage 30, 60, 90 and 120 days late when in fact the payments were made, and Bank of America chose to either take the payments and hold them in escrow or to process the payments and send them back to me. 
Background Information : While I was deployed XXXX for XXXX months in XX/XX/XXXX, with the XXXX XXXX my mortgage payment amount for the property at XXXX VA changed. This is my family home, and my primary residence. The protections of the SCRA Act should have protected me with a STAY of foreclosure proceedings for that period and up to 12 months after that period ended. My payment history reflects consistent payments of {$1700.00} per month, a rate that is higher than the amount that was quoted to me in XX/XX/XXXX of {$1500.00}. I was not aware that my mortgage payment had actually increased to {$2200.00} per month based on the mail communications that I received from the bank XX/XX/XXXX. When I started receiving very frequent calls from Bank of America XX/XX/XXXX I inquired about the status of the loans with the representative that I spoke with via phone, and based on his review of my loan he could n't tell why I was receiving the past due calls. He indicated that my loan was in good standing. 
XXXX months later in XX/XX/XXXX, I received a call from the pre-emptive modifications department offering me the opportunity to modify the loan. The Bank of America representative even told me not to make certain loan payments because the loan was being slated for an immediate modification. I worked with a representative named XXXX XXXX on this plan. XXXX always provided me with good customer service, and was very responsive to my phone calls. I experienced another active duty deployment in XX/XX/XXXX, and I was hoping to complete the modification in XX/XX/XXXX upon my return to the office. 
During the months of XXXX and XX/XX/XXXX, I received rude calls from the Bank of America mortgage loan workout department. I explained to the department that the loan payments that I was sending in were being sent back to me. They eventually found that {$6500.00} to {$9000.00} of my dollars had been held in escrow and not allocated to my account. They later allocated the money after I called them with a third party on the line. However they did n't reverse the negative effects on my credit report. Please help me rectify this situation. 
Thanks, XXXX XXXX. 
XXXX XXXX",Mortgage,False,Bank account or service,True,both_right
22,Debt collection,Credit reporting,0.7716679567737073,Debt collection,0.6193827390670776,False,True,"Ftc case # XXXX, XXXX/XXXX/2008 states that reporting of tribute XXXX ( compu credit ) by XXXX party collections is prohibited. I have sent this documentation and a request for removal per this ruling to XXXX XXXX XXXX. They are refusing to remove this trade line after receiving sufficient information supporting the request for removal.",Credit reporting,False,Debt collection,False,tfidf_wrong_comparison_right
23,Mortgage,Mortgage,0.9098318173943024,Mortgage,0.9753233790397644,True,True,"VA Loan for Veteran. Mortgage loan application was submitted for credit approval only on XXXX XXXX. We asked the branch manager to submit the file to underwriting as we knew we were going to have a 30 day closing. We provided all income/assets/credit documentation. Including my XXXX form, my parole in place, Social security card. We found a house XXXX XXXX, I asked the Loan officer to please submit my application and provide the disclosures needed to start the process, the day I found out they never submitted the loan for underwriting approval, I requested for my information to be submitted as soon as possible. on XXXX XXXX I was told the only items needed for final approval/clear to close was the appraisal report and the termite report, they both came in the same day. on XXXX XXXX the processor called saying they needed a copy of my XXXX, I told her that my legal status did n't required a visa. provided the documentation my attorney gave me and asked for them to call XXXX, I was told VA had this requirement. I called VA in AZ who handles CA VA Loan approval. I was told that was n't true,, the underwriting representative told me that VA only requires for the spouses income to be stable, that VA loan was mean to help the veteran. I spoke with the branch manager and loan processing manager, I was told by them that it was a Navy Fed Credit Union. They had my file for over 40 days, my rate was locked and now I 'm they denied my loan since I cant provide this "" XXXX '' that I do n't have. XXXX asked me to ask them to call them to verify the information, they would n't do anything extra to help. I feel they waste all of this time, lowered my fico score from running it so many times and now I have to look for a new lender pay a higher interest rate and fees. Should n't they have checked this before? my loan application clearly disclosed this information, I provided copies of all these docs. I asked multiple times if they needed anything else from me. 

Can you provide give us some advice? This seems very unfair for a applicant and up to a certain point discriminatory as I 'm allow to work in the USA, I have since I was XXXX I 'm now XXXX the close of escrow is XXXX - this house was the perfect house for my husband who is XXXX, the owner had already set up the house for a XXXX person. We do n't want to lose this house. 


any help will be appreciated Thank you XXXX XXXX",Mortgage,False,Credit reporting,True,both_right
24,Mortgage,Mortgage,0.6065292851715668,Mortgage,0.8680358529090881,True,True,"Chase denied all requests for assistance to help me maintain ownership of my home, I lost my home due to foreclosure. My savings depleted and I am homeless.",Mortgage,False,Mortgage,False,both_right
25,Debt collection,Debt collection,0.968957737255596,Debt collection,0.9513071179389954,True,True,"sent certified letter for validation and cease and decist all communication dated XX/XX/XXXX to XXXX Midland Funding XXXX I received a letter dated XXXX that they ca n't validate debt and they have ceased collections and closed account. i have received calls from XXXX XXXX to my fax # XXXX XXXX so i called it due to numerous calls and it was in regards to midland funding the disputed account and cease and decist filed on XXXX XXXX, 2015 i informed the man that they are in violation of FDCPA cease communication also trying to collect on an account that is disputed and also past statues i could only go back to XXXX but these are the dates and times of calls From XXXX XXXX XXXX XXXX, XXXX XXXX ; XXXX XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX XXXX XXXX ; XXXX XXXX, XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX XXXX XXXX ; XXXX XXXX XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX, XXXX XXXX ; XXXX XXXX and today XXXX ; XXXX XXXX ; XXXX XXXX i do have copies of all letters and response sent to agency",Debt collection,False,Debt collection,False,both_right
